clk,time_stamp,userid,adgroup_id,pid,cate_id,campaign_id,customer,brand,price,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level,click_sequence
0,2017-05-06 00:00:00,874257,172298,430548_1007,5443,160194,864,339907,3.9,0,3,2,3,,3,0,,170301^573514
0,2017-05-06 00:00:00,227368,519384,430548_1007,6261,137739,1210,158849,189.0,0,4,2,4,,3,0,,680144
0,2017-05-06 00:00:00,626053,513129,430539_1007,6251,264355,214436,58727,168.0,0,2,2,2,,3,0,,170301^573514^158525^633154^383937^431258
0,2017-05-06 00:00:00,549940,659142,430539_1007,7212,366810,254969,180856,159.0,44,5,2,5,2,3,0,,170301^573514
0,2017-05-06 00:00:00,549940,431258,430539_1007,2201,349173,22878,455009,98.0,44,5,2,5,2,3,0,,680144
0,2017-05-06 00:00:00,874257,54756,430548_1007,4609,17377,68631,304332,46.0,0,3,2,3,,3,0,,
0,2017-05-06 00:00:00,227368,605570,430548_1007,4283,397994,52598,73218,299.0,0,4,2,4,,3,0,,680144^573514
0,2017-05-06 00:00:00,608569,170301,430539_1007,6261,67660,149747,144123,858.0,20,3,2,3,2,3,0,,170301^573514
1,2017-05-06 00:00:00,227368,680144,430548_1007,6261,112846,5406,420137,596.0,0,4,2,4,,3,0,,170301^573514^54756
0,2017-05-06 00:00:00,626053,722867,430539_1007,4281,94871,164284,,98.0,0,2,2,2,,3,0,,
0,2017-05-06 00:00:00,874257,674268,430548_1007,5443,150068,21689,,3.9,0,3,2,3,,3,0,,170301^573514
0,2017-05-06 00:00:00,608569,158525,430539_1007,6261,192463,79797,87032,527.0,20,3,2,3,2,3,0,,
0,2017-05-06 00:00:00,227368,633154,430548_1007,4520,385451,25728,,79.0,0,4,2,4,,3,0,,680144
0,2017-05-06 00:00:00,227368,467092,430548_1007,6261,137739,1210,158849,229.0,0,4,2,4,,3,0,,680144
0,2017-05-06 00:00:00,874257,573514,430548_1007,6426,292338,239574,,18.0,0,3,2,3,,3,0,,
0,2017-05-06 00:00:00,227368,570475,430548_1007,4505,95200,56774,40827,109.0,0,4,2,4,,3,0,,680144
0,2017-05-06 00:00:00,227368,702219,430548_1007,4281,87006,47076,,138.0,0,4,2,4,,3,0,,680144
0,2017-05-06 00:00:00,874257,383937,430548_1007,5443,398575,51721,156936,5.2,0,3,2,3,,3,0,,
0,2017-05-06 00:00:00,874257,680144,430548_1007,5851,398109,24984,,6.0,0,3,2,3,,3,0,,
0,2017-05-06 00:00:00,608569,627549,430539_1007,6261,259290,217182,409777,688.0,20,3,2,3,2,3,0,,
0,2017-05-06 00:00:00,549940,553889,430539_1007,7212,102833,573,,39.0,44,5,2,5,2,3,0,,
0,2017-05-06 00:00:00,874257,148505,430548_1007,4609,244703,223269,270537,12.4,0,3,2,3,,3,0,,
0,2017-05-06 00:00:00,227368,572396,430548_1007,4281,107755,96798,194203,362.0,0,4,2,4,,3,0,,680144
0,2017-05-06 00:00:00,227368,636019,430548_1007,6261,363218,117313,42518,768.0,0,4,2,4,,3,0,,680144
0,2017-05-06 00:00:00,874257,194654,430548_1007,5487,57459,43184,139647,8.0,0,3,2,3,,3,0,,
0,2017-05-06 00:00:00,874257,27032,430548_1007,5851,133243,13072,11022,8.8,0,3,2,3,,3,0,,
0,2017-05-06 00:00:00,227368,576624,430548_1007,1665,202498,103078,,425.0,0,4,2,4,,3,0,,680144
0,2017-05-06 00:00:00,874257,662621,430548_1007,5851,183759,5902,,19.8,0,3,2,3,,3,0,,
0,2017-05-06 00:00:01,664542,225892,430548_1007,9784,274193,222509,220468,78.0,20,3,2,3,2,3,0,,
0,2017-05-06 00:00:01,616268,679190,430539_1007,4281,252478,42812,321464,128.0,0,3,2,3,,3,0,,
0,2017-05-06 00:00:01,992364,362454,430539_1007,5316,93454,162663,364212,78.0,20,3,2,3,2,3,0,,
0,2017-05-06 00:00:01,992364,117738,430539_1007,333,225230,186875,259883,228.0,20,3,2,3,2,3,0,,
0,2017-05-06 00:00:01,616268,690119,430539_1007,4282,302529,75881,144123,709.0,0,3,2,3,,3,0,,
0,2017-05-06 00:00:01,693616,588074,430548_1007,4292,142840,179648,,68.8,,,,,,,,,
0,2017-05-06 00:00:01,693616,169140,430548_1007,4292,138651,20604,395808,498.0,,,,,,,,,
0,2017-05-06 00:00:01,693616,164095,430548_1007,8112,256512,55297,291723,150.0,,,,,,,,,
0,2017-05-06 00:00:01,268502,703594,430548_1007,6183,230502,205433,290511,89.0,57,8,1,2,2,3,0,,
0,2017-05-06 00:00:01,754948,454239,430548_1007,6433,241951,33287,3130,289.0,0,7,1,1,,2,0,,
